county,precinct,office,district,party,candidate,votes,election_day,absentee,absentee2
Greene,0012 12-AB,Constitutional Amendment No. 1,,,Yes,434,434,0,0
Greene,0012 12-AB,Constitutional Amendment No. 1,,,No.,505,505,0,0
Greene,0012 12-AB,Constitutional Amendment No. 3,,,Yes,399,399,0,0
Greene,0012 12-AB,Constitutional Amendment No. 3,,,No.,542,542,0,0
Greene,0012 12-AB,Supreme Court Judge - Patricia Breckenridge GREENE,,,Yes,631,631,0,0
Greene,0012 12-AB,Supreme Court Judge - Patricia Breckenridge GREENE,,,No.,223,223,0,0
Greene,0012 12-AB,"Court of Appeals Judge, Southern District - Gary W.",,,Yes,566,566,0,0
Greene,0012 12-AB,"Court of Appeals Judge, Southern District - Gary W.",,,No.,270,270,0,0
Greene,0012 12-AB,31st Judicial Circuit Div. No. 2 - Jones GREENE,,,Yes,559,559,0,0
Greene,0012 12-AB,31st Judicial Circuit Div. No. 2 - Jones GREENE,,,No.,271,271,0,0
Greene,0012 12-AB,31st Judicial Circuit Div. No. 6 - Borthwick GREENE,,,Yes,614,614,0,0
Greene,0012 12-AB,31st Judicial Circuit Div. No. 6 - Borthwick GREENE,,,No.,225,225,0,0
Greene,0012 12-AB,Associate - 31st Circuit Div. No. 23 - Hosmer GREENE,,,Yes,584,584,0,0
Greene,0012 12-AB,Associate - 31st Circuit Div. No. 23 - Hosmer GREENE,,,No.,264,264,0,0
Greene,0012 12-AB,Associate - 31st Circuit Div. No. 26 - Carrier GREENE,,,Yes,591,591,0,0
Greene,0013 16-AB/27-A,President,,REP,DONALD J. TRUMP MICHAEL R. PENCE,637,637,0,0
Greene,0013 16-AB/27-A,President,,DEM,JOSEPH R. BIDEN KAMALA D. HARRIS,513,513,0,0
Greene,0013 16-AB/27-A,President,,LIB,JO JORGENSEN JEREMY (SPIKE) COHEN,30,30,0,0
Greene,0013 16-AB/27-A,President,,GRN,HOWIE HAWKINS ANGELA NICOLE WALKER,8,8,0,0
Greene,0013 16-AB/27-A,President,,CST,DON BLANKENSHIP WILLIAM MOHR,2,2,0,0
Greene,0013 16-AB/27-A,Governor,,REP,MIKE PARSON,614,614,0,0
Greene,0013 16-AB/27-A,Governor,,DEM,NICOLE GALLOWAY,520,520,0,0
Greene,0013 16-AB/27-A,Governor,,LIB,RIK COMBS,42,42,0,0
Greene,0013 16-AB/27-A,Governor,,GRN,JEROME HOWARD BAUER,9,9,0,0
Greene,0013 16-AB/27-A,Lieutenant Governor,,REP,MIKE KEHOE,615,615,0,0
Greene,0013 16-AB/27-A,Lieutenant Governor,,DEM,ALISSIA CANADY,491,491,0,0
Greene,0013 16-AB/27-A,Lieutenant Governor,,LIB,BILL SLANTZ,43,43,0,0
Greene,0013 16-AB/27-A,Lieutenant Governor,,GRN,KELLEY DRAGOO,28,28,0,0
Greene,0013 16-AB/27-A,Secretary of State,,REP,JOHN R. (JAY) ASHCROFT,635,635,0,0
Greene,0013 16-AB/27-A,Secretary of State,,DEM,YINKA FALETI,464,464,0,0
Greene,0013 16-AB/27-A,Secretary of State,,LIB,CARL HERMAN FREESE,54,54,0,0
Greene,0013 16-AB/27-A,Secretary of State,,GRN,PAUL LEHMANN,19,19,0,0
Greene,0013 16-AB/27-A,Secretary of State,,CST,PAUL VENABLE,6,6,0,0
Greene,0013 16-AB/27-A,State Treasurer,,REP,SCOTT FITZPATRICK,637,637,0,0
Greene,0013 16-AB/27-A,State Treasurer,,DEM,VICKI LORENZ ENGLUND,455,455,0,0
Greene,0013 16-AB/27-A,State Treasurer,,LIB,NICHOLAS (NICK) KASOFF,57,57,0,0
Greene,0013 16-AB/27-A,State Treasurer,,GRN,JOSEPH CIVETTINI,20,20,0,0
Greene,0013 16-AB/27-A,Attorney General,,REP,ERIC SCHMITT,639,639,0,0
Greene,0013 16-AB/27-A,Attorney General,,DEM,RICH FINNERAN,470,470,0,0
Greene,0013 16-AB/27-A,Attorney General,,LIB,KEVIN C BABCOCK,62,62,0,0
Greene,0013 16-AB/27-A,U.S. House,7,REP,BILLY LONG,611,611,0,0
Greene,0013 16-AB/27-A,U.S. House,7,DEM,TERESA MONTSENY,483,483,0,0
Greene,0013 16-AB/27-A,U.S. House,7,LIB,KEVIN CRAIG,74,74,0,0
Greene,0013 16-AB/27-A,State House,132,REP,SARAH SEMPLE,610,610,0,0
Greene,0013 16-AB/27-A,State House,132,DEM,CRYSTAL QUADE,562,562,0,0
Greene,0013 16-AB/27-A,COMMISSIONER - DISTRICT 1 DST 1,,REP,RUSTY MACLACHLAN,644,644,0,0
Greene,0013 16-AB/27-A,COMMISSIONER - DISTRICT 1 DST 1,,DEM,WES ZONGKER,517,517,0,0
Greene,0013 16-AB/27-A,SHERIFF GREENE,,REP,JIM C ARNOTT,969,969,0,0
Greene,0013 16-AB/27-A,ASSESSOR GREENE,,REP,BRENT JOHNSON,968,968,0,0
Greene,0013 16-AB/27-A,TREASURER GREENE,,REP,JUSTIN HILL,967,967,0,0
Greene,0013 16-AB/27-A,PUBLIC ADMINISTRATOR GREENE,,REP,SHERRI EAGON MARTIN,956,956,0,0
Greene,0013 16-AB/27-A,Constitutional Amendment No. 1,,,Yes,559,559,0,0
Greene,0013 16-AB/27-A,Constitutional Amendment No. 1,,,No.,598,598,0,0
Greene,0013 16-AB/27-A,Constitutional Amendment No. 3,,,Yes,554,554,0,0
Greene,0013 16-AB/27-A,Constitutional Amendment No. 3,,,No.,601,601,0,0
Greene,0013 16-AB/27-A,Supreme Court Judge - Patricia Breckenridge GREENE,,,Yes,789,789,0,0
Greene,0013 16-AB/27-A,Supreme Court Judge - Patricia Breckenridge GREENE,,,No.,303,303,0,0
Greene,0013 16-AB/27-A,"Court of Appeals Judge, Southern District - Gary W.",,,Yes,758,758,0,0
Greene,0013 16-AB/27-A,"Court of Appeals Judge, Southern District - Gary W.",,,No.,324,324,0,0
Greene,0013 16-AB/27-A,31st Judicial Circuit Div. No. 2 - Jones GREENE,,,Yes,741,741,0,0
Greene,0013 16-AB/27-A,31st Judicial Circuit Div. No. 2 - Jones GREENE,,,No.,342,342,0,0
Greene,0013 16-AB/27-A,31st Judicial Circuit Div. No. 6 - Borthwick GREENE,,,Yes,790,790,0,0
Greene,0013 16-AB/27-A,31st Judicial Circuit Div. No. 6 - Borthwick GREENE,,,No.,296,296,0,0
Greene,0013 16-AB/27-A,Associate - 31st Circuit Div. No. 23 - Hosmer GREENE,,,Yes,752,752,0,0
Greene,0013 16-AB/27-A,Associate - 31st Circuit Div. No. 23 - Hosmer GREENE,,,No.,331,331,0,0
Greene,0013 16-AB/27-A,Associate - 31st Circuit Div. No. 26 - Carrier GREENE,,,Yes,759,759,0,0
Greene,0014 16-C,President,,REP,DONALD J. TRUMP MICHAEL R. PENCE,533,533,0,0
Greene,0014 16-C,President,,DEM,JOSEPH R. BIDEN KAMALA D. HARRIS,384,384,0,0
Greene,0014 16-C,President,,LIB,JO JORGENSEN JEREMY (SPIKE) COHEN,30,30,0,0
Greene,0014 16-C,President,,GRN,HOWIE HAWKINS ANGELA NICOLE WALKER,5,5,0,0
Greene,0014 16-C,President,,CST,DON BLANKENSHIP WILLIAM MOHR,1,1,0,0
Greene,0014 16-C,Governor,,REP,MIKE PARSON,511,511,0,0
Greene,0014 16-C,Governor,,DEM,NICOLE GALLOWAY,405,405,0,0
Greene,0014 16-C,Governor,,LIB,RIK COMBS,29,29,0,0
Greene,0014 16-C,Governor,,GRN,JEROME HOWARD BAUER,10,10,0,0
Greene,0014 16-C,Lieutenant Governor,,REP,MIKE KEHOE,530,530,0,0
Greene,0014 16-C,Lieutenant Governor,,DEM,ALISSIA CANADY,363,363,0,0
Greene,0014 16-C,Lieutenant Governor,,LIB,BILL SLANTZ,25,25,0,0
Greene,0014 16-C,Lieutenant Governor,,GRN,KELLEY DRAGOO,22,22,0,0
Greene,0014 16-C,Secretary of State,,REP,JOHN R. (JAY) ASHCROFT,545,545,0,0
Greene,0014 16-C,Secretary of State,,DEM,YINKA FALETI,343,343,0,0
Greene,0014 16-C,Secretary of State,,LIB,CARL HERMAN FREESE,33,33,0,0
Greene,0014 16-C,Secretary of State,,GRN,PAUL LEHMANN,21,21,0,0
Greene,0014 16-C,Secretary of State,,CST,PAUL VENABLE,5,5,0,0
Greene,0014 16-C,State Treasurer,,REP,SCOTT FITZPATRICK,545,545,0,0
Greene,0014 16-C,State Treasurer,,DEM,VICKI LORENZ ENGLUND,346,346,0,0
Greene,0014 16-C,State Treasurer,,LIB,NICHOLAS (NICK) KASOFF,35,35,0,0
Greene,0014 16-C,State Treasurer,,GRN,JOSEPH CIVETTINI,17,17,0,0
Greene,0014 16-C,Attorney General,,REP,ERIC SCHMITT,550,550,0,0
Greene,0014 16-C,Attorney General,,DEM,RICH FINNERAN,340,340,0,0
Greene,0014 16-C,Attorney General,,LIB,KEVIN C BABCOCK,48,48,0,0
Greene,0014 16-C,U.S. House,7,REP,BILLY LONG,503,503,0,0
Greene,0014 16-C,U.S. House,7,DEM,TERESA MONTSENY,372,372,0,0
Greene,0014 16-C,U.S. House,7,LIB,KEVIN CRAIG,60,60,0,0
Greene,0014 16-C,State House,132,REP,SARAH SEMPLE,504,504,0,0
Greene,0014 16-C,State House,132,DEM,CRYSTAL QUADE,431,431,0,0
Greene,0014 16-C,COMMISSIONER - DISTRICT 1 DST 1,,REP,RUSTY MACLACHLAN,539,539,0,0
Greene,0014 16-C,COMMISSIONER - DISTRICT 1 DST 1,,DEM,WES ZONGKER,383,383,0,0
Greene,0014 16-C,SHERIFF GREENE,,REP,JIM C ARNOTT,810,810,0,0
Greene,0014 16-C,ASSESSOR GREENE,,REP,BRENT JOHNSON,822,822,0,0
Greene,0014 16-C,TREASURER GREENE,,REP,JUSTIN HILL,822,822,0,0
Greene,0014 16-C,PUBLIC ADMINISTRATOR GREENE,,REP,SHERRI EAGON MARTIN,808,808,0,0
Greene,0014 16-C,Constitutional Amendment No. 1,,,Yes,425,425,0,0
Greene,0014 16-C,Constitutional Amendment No. 1,,,No.,490,490,0,0
Greene,0014 16-C,Constitutional Amendment No. 3,,,Yes,436,436,0,0
Greene,0014 16-C,Constitutional Amendment No. 3,,,No.,495,495,0,0
Greene,0014 16-C,Supreme Court Judge - Patricia Breckenridge GREENE,,,Yes,669,669,0,0
Greene,0014 16-C,Supreme Court Judge - Patricia Breckenridge GREENE,,,No.,206,206,0,0
Greene,0014 16-C,"Court of Appeals Judge, Southern District - Gary W.",,,Yes,622,622,0,0
Greene,0014 16-C,"Court of Appeals Judge, Southern District - Gary W.",,,No.,243,243,0,0
Greene,0014 16-C,31st Judicial Circuit Div. No. 2 - Jones GREENE,,,Yes,615,615,0,0
Greene,0014 16-C,31st Judicial Circuit Div. No. 2 - Jones GREENE,,,No.,249,249,0,0
Greene,0014 16-C,31st Judicial Circuit Div. No. 6 - Borthwick GREENE,,,Yes,677,677,0,0
Greene,0014 16-C,31st Judicial Circuit Div. No. 6 - Borthwick GREENE,,,No.,189,189,0,0
Greene,0014 16-C,Associate - 31st Circuit Div. No. 23 - Hosmer GREENE,,,Yes,627,627,0,0
Greene,0014 16-C,Associate - 31st Circuit Div. No. 23 - Hosmer GREENE,,,No.,236,236,0,0
Greene,0014 16-C,Associate - 31st Circuit Div. No. 26 - Carrier GREENE,,,Yes,623,623,0,0
Greene,0015 20-AB,President,,REP,DONALD J. TRUMP MICHAEL R. PENCE,335,335,0,0
Greene,0015 20-AB,President,,DEM,JOSEPH R. BIDEN KAMALA D. HARRIS,357,357,0,0
Greene,0015 20-AB,President,,LIB,JO JORGENSEN JEREMY (SPIKE) COHEN,27,27,0,0
Greene,0015 20-AB,President,,GRN,HOWIE HAWKINS ANGELA NICOLE WALKER,5,5,0,0
Greene,0015 20-AB,President,,CST,DON BLANKENSHIP WILLIAM MOHR,0,0,0,0
Greene,0015 20-AB,Governor,,REP,MIKE PARSON,344,344,0,0
Greene,0015 20-AB,Governor,,DEM,NICOLE GALLOWAY,347,347,0,0
Greene,0015 20-AB,Governor,,LIB,RIK COMBS,26,26,0,0
Greene,0015 20-AB,Governor,,GRN,JEROME HOWARD BAUER,6,6,0,0
Greene,0015 20-AB,Lieutenant Governor,,REP,MIKE KEHOE,338,338,0,0
Greene,0015 20-AB,Lieutenant Governor,,DEM,ALISSIA CANADY,341,341,0,0
Greene,0015 20-AB,Lieutenant Governor,,LIB,BILL SLANTZ,27,27,0,0
Greene,0015 20-AB,Lieutenant Governor,,GRN,KELLEY DRAGOO,13,13,0,0
Greene,0015 20-AB,Secretary of State,,REP,JOHN R. (JAY) ASHCROFT,348,348,0,0
Greene,0015 20-AB,Secretary of State,,DEM,YINKA FALETI,316,316,0,0
Greene,0015 20-AB,Secretary of State,,LIB,CARL HERMAN FREESE,33,33,0,0
Greene,0015 20-AB,Secretary of State,,GRN,PAUL LEHMANN,12,12,0,0
Greene,0015 20-AB,Secretary of State,,CST,PAUL VENABLE,8,8,0,0
Greene,0015 20-AB,State Treasurer,,REP,SCOTT FITZPATRICK,341,341,0,0
Greene,0015 20-AB,State Treasurer,,DEM,VICKI LORENZ ENGLUND,330,330,0,0
Greene,0015 20-AB,State Treasurer,,LIB,NICHOLAS (NICK) KASOFF,32,32,0,0
Greene,0015 20-AB,State Treasurer,,GRN,JOSEPH CIVETTINI,10,10,0,0
Greene,0015 20-AB,Attorney General,,REP,ERIC SCHMITT,342,342,0,0
Greene,0015 20-AB,Attorney General,,DEM,RICH FINNERAN,320,320,0,0
Greene,0015 20-AB,Attorney General,,LIB,KEVIN C BABCOCK,51,51,0,0
Greene,0015 20-AB,U.S. House,7,REP,BILLY LONG,318,318,0,0
Greene,0015 20-AB,U.S. House,7,DEM,TERESA MONTSENY,345,345,0,0
Greene,0015 20-AB,U.S. House,7,LIB,KEVIN CRAIG,49,49,0,0
Greene,0015 20-AB,State House,131,REP,BILL OWEN,259,259,0,0
Greene,0015 20-AB,State House,131,DEM,ALLISON SCHOOLCRAFT,172,172,0,0
Greene,0015 20-AB,State House,132,REP,SARAH SEMPLE,79,79,0,0
Greene,0015 20-AB,State House,132,DEM,CRYSTAL QUADE,200,200,0,0
Greene,0015 20-AB,COMMISSIONER - DISTRICT 2 DST 2,,REP,JOHN C. RUSSELL,332,332,0,0
Greene,0015 20-AB,COMMISSIONER - DISTRICT 2 DST 2,,DEM,SARA LAMPE,348,348,0,0
Greene,0015 20-AB,COMMISSIONER - DISTRICT 2 DST 2,,LIB,CECIL A. INCE,34,34,0,0
Greene,0015 20-AB,SHERIFF GREENE,,REP,JIM C ARNOTT,545,545,0,0
Greene,0015 20-AB,ASSESSOR GREENE,,REP,BRENT JOHNSON,567,567,0,0
Greene,0015 20-AB,TREASURER GREENE,,REP,JUSTIN HILL,564,564,0,0
Greene,0015 20-AB,PUBLIC ADMINISTRATOR GREENE,,REP,SHERRI EAGON MARTIN,555,555,0,0
Greene,0015 20-AB,Constitutional Amendment No. 1,,,Yes,332,332,0,0
Greene,0015 20-AB,Constitutional Amendment No. 1,,,No.,356,356,0,0
Greene,0015 20-AB,Constitutional Amendment No. 3,,,Yes,290,290,0,0
Greene,0015 20-AB,Constitutional Amendment No. 3,,,No.,404,404,0,0
Greene,0015 20-AB,Supreme Court Judge - Patricia Breckenridge GREENE,,,Yes,461,461,0,0
Greene,0015 20-AB,Supreme Court Judge - Patricia Breckenridge GREENE,,,No.,178,178,0,0
Greene,0015 20-AB,"Court of Appeals Judge, Southern District - Gary W.",,,Yes,409,409,0,0
Greene,0015 20-AB,"Court of Appeals Judge, Southern District - Gary W.",,,No.,224,224,0,0
Greene,0015 20-AB,31st Judicial Circuit Div. No. 2 - Jones GREENE,,,Yes,393,393,0,0
Greene,0015 20-AB,31st Judicial Circuit Div. No. 2 - Jones GREENE,,,No.,236,236,0,0
Greene,0015 20-AB,31st Judicial Circuit Div. No. 6 - Borthwick GREENE,,,Yes,445,445,0,0
Greene,0015 20-AB,31st Judicial Circuit Div. No. 6 - Borthwick GREENE,,,No.,184,184,0,0
Greene,0015 20-AB,Associate - 31st Circuit Div. No. 23 - Hosmer GREENE,,,Yes,399,399,0,0
Greene,0015 20-AB,Associate - 31st Circuit Div. No. 23 - Hosmer GREENE,,,No.,227,227,0,0
Greene,0015 20-AB,Associate - 31st Circuit Div. No. 26 - Carrier GREENE,,,Yes,407,407,0,0
Greene,0016 22-AB,President,,REP,DONALD J. TRUMP MICHAEL R. PENCE,524,524,0,0
Greene,0016 22-AB,President,,DEM,JOSEPH R. BIDEN KAMALA D. HARRIS,447,447,0,0
Greene,0016 22-AB,President,,LIB,JO JORGENSEN JEREMY (SPIKE) COHEN,26,26,0,0
Greene,0016 22-AB,President,,GRN,HOWIE HAWKINS ANGELA NICOLE WALKER,3,3,0,0
Greene,0016 22-AB,President,,CST,DON BLANKENSHIP WILLIAM MOHR,2,2,0,0
Greene,0016 22-AB,Governor,,REP,MIKE PARSON,504,504,0,0
Greene,0016 22-AB,Governor,,DEM,NICOLE GALLOWAY,444,444,0,0
Greene,0016 22-AB,Governor,,LIB,RIK COMBS,44,44,0,0
Greene,0016 22-AB,Governor,,GRN,JEROME HOWARD BAUER,8,8,0,0
Greene,0016 22-AB,Lieutenant Governor,,REP,MIKE KEHOE,521,521,0,0
Greene,0016 22-AB,Lieutenant Governor,,DEM,ALISSIA CANADY,416,416,0,0
Greene,0016 22-AB,Lieutenant Governor,,LIB,BILL SLANTZ,33,33,0,0
Greene,0016 22-AB,Lieutenant Governor,,GRN,KELLEY DRAGOO,16,16,0,0
Greene,0016 22-AB,Secretary of State,,REP,JOHN R. (JAY) ASHCROFT,535,535,0,0
Greene,0016 22-AB,Secretary of State,,DEM,YINKA FALETI,388,388,0,0
Greene,0016 22-AB,Secretary of State,,LIB,CARL HERMAN FREESE,42,42,0,0
Greene,0016 22-AB,Secretary of State,,GRN,PAUL LEHMANN,17,17,0,0
Greene,0016 22-AB,Secretary of State,,CST,PAUL VENABLE,4,4,0,0
Greene,0016 22-AB,State Treasurer,,REP,SCOTT FITZPATRICK,527,527,0,0
Greene,0016 22-AB,State Treasurer,,DEM,VICKI LORENZ ENGLUND,403,403,0,0
Greene,0016 22-AB,State Treasurer,,LIB,NICHOLAS (NICK) KASOFF,38,38,0,0
Greene,0016 22-AB,State Treasurer,,GRN,JOSEPH CIVETTINI,13,13,0,0
Greene,0016 22-AB,Attorney General,,REP,ERIC SCHMITT,538,538,0,0
Greene,0016 22-AB,Attorney General,,DEM,RICH FINNERAN,394,394,0,0
Greene,0016 22-AB,Attorney General,,LIB,KEVIN C BABCOCK,48,48,0,0
Greene,0016 22-AB,U.S. House,7,REP,BILLY LONG,490,490,0,0
Greene,0016 22-AB,U.S. House,7,DEM,TERESA MONTSENY,430,430,0,0
Greene,0016 22-AB,U.S. House,7,LIB,KEVIN CRAIG,63,63,0,0
Greene,0016 22-AB,State House,131,REP,BILL OWEN,340,340,0,0
Greene,0016 22-AB,State House,131,DEM,ALLISON SCHOOLCRAFT,264,264,0,0
Greene,0016 22-AB,State House,135,REP,STEVE HELMS,179,179,0,0
Greene,0016 22-AB,State House,135,DEM,BETSY FOGLE,182,182,0,0
Greene,0016 22-AB,State House,135,GRN,VICKE KEPLING,23,23,0,0
Greene,0016 22-AB,COMMISSIONER - DISTRICT 2 DST 2,,REP,JOHN C. RUSSELL,495,495,0,0
Greene,0016 22-AB,COMMISSIONER - DISTRICT 2 DST 2,,DEM,SARA LAMPE,454,454,0,0
Greene,0016 22-AB,COMMISSIONER - DISTRICT 2 DST 2,,LIB,CECIL A. INCE,36,36,0,0
Greene,0016 22-AB,SHERIFF GREENE,,REP,JIM C ARNOTT,808,808,0,0
Greene,0016 22-AB,ASSESSOR GREENE,,REP,BRENT JOHNSON,830,830,0,0
Greene,0016 22-AB,TREASURER GREENE,,REP,JUSTIN HILL,822,822,0,0
Greene,0016 22-AB,PUBLIC ADMINISTRATOR GREENE,,REP,SHERRI EAGON MARTIN,816,816,0,0
Greene,0016 22-AB,Constitutional Amendment No. 1,,,Yes,461,461,0,0
Greene,0016 22-AB,Constitutional Amendment No. 1,,,No.,480,480,0,0
Greene,0016 22-AB,Constitutional Amendment No. 3,,,Yes,486,486,0,0
Greene,0016 22-AB,Constitutional Amendment No. 3,,,No.,466,466,0,0
Greene,0016 22-AB,Supreme Court Judge - Patricia Breckenridge GREENE,,,Yes,672,672,0,0
Greene,0016 22-AB,Supreme Court Judge - Patricia Breckenridge GREENE,,,No.,227,227,0,0
Greene,0016 22-AB,"Court of Appeals Judge, Southern District - Gary W.",,,Yes,619,619,0,0
Greene,0016 22-AB,"Court of Appeals Judge, Southern District - Gary W.",,,No.,271,271,0,0
Greene,0016 22-AB,31st Judicial Circuit Div. No. 2 - Jones GREENE,,,Yes,623,623,0,0
Greene,0016 22-AB,31st Judicial Circuit Div. No. 2 - Jones GREENE,,,No.,264,264,0,0
Greene,0016 22-AB,31st Judicial Circuit Div. No. 6 - Borthwick GREENE,,,Yes,670,670,0,0
Greene,0016 22-AB,31st Judicial Circuit Div. No. 6 - Borthwick GREENE,,,No.,219,219,0,0
Greene,0016 22-AB,Associate - 31st Circuit Div. No. 23 - Hosmer GREENE,,,Yes,647,647,0,0
Greene,0016 22-AB,Associate - 31st Circuit Div. No. 23 - Hosmer GREENE,,,No.,249,249,0,0
Greene,0016 22-AB,Associate - 31st Circuit Div. No. 26 - Carrier GREENE,,,Yes,631,631,0,0
Greene,0017 22-C,President,,REP,DONALD J. TRUMP MICHAEL R. PENCE,254,254,0,0
Greene,0017 22-C,President,,DEM,JOSEPH R. BIDEN KAMALA D. HARRIS,370,370,0,0
Greene,0017 22-C,President,,LIB,JO JORGENSEN JEREMY (SPIKE) COHEN,22,22,0,0
Greene,0017 22-C,President,,GRN,HOWIE HAWKINS ANGELA NICOLE WALKER,2,2,0,0
Greene,0017 22-C,President,,CST,DON BLANKENSHIP WILLIAM MOHR,1,1,0,0
Greene,0017 22-C,Governor,,REP,MIKE PARSON,249,249,0,0
Greene,0017 22-C,Governor,,DEM,NICOLE GALLOWAY,374,374,0,0
Greene,0017 22-C,Governor,,LIB,RIK COMBS,18,18,0,0
Greene,0017 22-C,Governor,,GRN,JEROME HOWARD BAUER,7,7,0,0
Greene,0017 22-C,Lieutenant Governor,,REP,MIKE KEHOE,243,243,0,0
Greene,0017 22-C,Lieutenant Governor,,DEM,ALISSIA CANADY,364,364,0,0
Greene,0017 22-C,Lieutenant Governor,,LIB,BILL SLANTZ,23,23,0,0
Greene,0017 22-C,Lieutenant Governor,,GRN,KELLEY DRAGOO,6,6,0,0
Greene,0017 22-C,Secretary of State,,REP,JOHN R. (JAY) ASHCROFT,252,252,0,0
Greene,0017 22-C,Secretary of State,,DEM,YINKA FALETI,349,349,0,0
Greene,0017 22-C,Secretary of State,,LIB,CARL HERMAN FREESE,25,25,0,0
Greene,0017 22-C,Secretary of State,,GRN,PAUL LEHMANN,7,7,0,0
Greene,0017 22-C,Secretary of State,,CST,PAUL VENABLE,5,5,0,0
Greene,0017 22-C,State Treasurer,,REP,SCOTT FITZPATRICK,252,252,0,0
Greene,0017 22-C,State Treasurer,,DEM,VICKI LORENZ ENGLUND,352,352,0,0
Greene,0017 22-C,State Treasurer,,LIB,NICHOLAS (NICK) KASOFF,25,25,0,0
Greene,0017 22-C,State Treasurer,,GRN,JOSEPH CIVETTINI,8,8,0,0
Greene,0017 22-C,Attorney General,,REP,ERIC SCHMITT,260,260,0,0
Greene,0017 22-C,Attorney General,,DEM,RICH FINNERAN,349,349,0,0
Greene,0017 22-C,Attorney General,,LIB,KEVIN C BABCOCK,25,25,0,0
Greene,0017 22-C,U.S. House,7,REP,BILLY LONG,235,235,0,0
Greene,0017 22-C,U.S. House,7,DEM,TERESA MONTSENY,361,361,0,0
Greene,0017 22-C,U.S. House,7,LIB,KEVIN CRAIG,37,37,0,0
Greene,0017 22-C,State House,131,REP,BILL OWEN,40,40,0,0
Greene,0017 22-C,State House,131,DEM,ALLISON SCHOOLCRAFT,41,41,0,0
Greene,0017 22-C,State House,132,REP,SARAH SEMPLE,206,206,0,0
Greene,0017 22-C,State House,132,DEM,CRYSTAL QUADE,356,356,0,0
Greene,0017 22-C,COMMISSIONER - DISTRICT 2 DST 2,,REP,JOHN C. RUSSELL,234,234,0,0
Greene,0017 22-C,COMMISSIONER - DISTRICT 2 DST 2,,DEM,SARA LAMPE,381,381,0,0
Greene,0017 22-C,COMMISSIONER - DISTRICT 2 DST 2,,LIB,CECIL A. INCE,21,21,0,0
Greene,0017 22-C,SHERIFF GREENE,,REP,JIM C ARNOTT,485,485,0,0
Greene,0017 22-C,ASSESSOR GREENE,,REP,BRENT JOHNSON,494,494,0,0
Greene,0017 22-C,TREASURER GREENE,,REP,JUSTIN HILL,489,489,0,0
Greene,0017 22-C,PUBLIC ADMINISTRATOR GREENE,,REP,SHERRI EAGON MARTIN,481,481,0,0
Greene,0017 22-C,Constitutional Amendment No. 1,,,Yes,295,295,0,0
Greene,0017 22-C,Constitutional Amendment No. 1,,,No.,330,330,0,0
Greene,0017 22-C,Constitutional Amendment No. 3,,,Yes,227,227,0,0
Greene,0017 22-C,Constitutional Amendment No. 3,,,No.,408,408,0,0
Greene,0017 22-C,Supreme Court Judge - Patricia Breckenridge GREENE,,,Yes,395,395,0,0
Greene,0017 22-C,Supreme Court Judge - Patricia Breckenridge GREENE,,,No.,167,167,0,0
Greene,0017 22-C,"Court of Appeals Judge, Southern District - Gary W.",,,Yes,365,365,0,0
Greene,0017 22-C,"Court of Appeals Judge, Southern District - Gary W.",,,No.,195,195,0,0
Greene,0017 22-C,31st Judicial Circuit Div. No. 2 - Jones GREENE,,,Yes,373,373,0,0
Greene,0017 22-C,31st Judicial Circuit Div. No. 2 - Jones GREENE,,,No.,187,187,0,0
Greene,0017 22-C,31st Judicial Circuit Div. No. 6 - Borthwick GREENE,,,Yes,408,408,0,0
Greene,0017 22-C,31st Judicial Circuit Div. No. 6 - Borthwick GREENE,,,No.,150,150,0,0
Greene,0017 22-C,Associate - 31st Circuit Div. No. 23 - Hosmer GREENE,,,Yes,389,389,0,0
Greene,0017 22-C,Associate - 31st Circuit Div. No. 23 - Hosmer GREENE,,,No.,178,178,0,0
Greene,0017 22-C,Associate - 31st Circuit Div. No. 26 - Carrier GREENE,,,Yes,382,382,0,0
Greene,0018 26-ABC,President,,REP,DONALD J. TRUMP MICHAEL R. PENCE,656,656,0,0
Greene,0018 26-ABC,President,,DEM,JOSEPH R. BIDEN KAMALA D. HARRIS,520,520,0,0
Greene,0018 26-ABC,President,,LIB,JO JORGENSEN JEREMY (SPIKE) COHEN,34,34,0,0
Greene,0018 26-ABC,President,,GRN,HOWIE HAWKINS ANGELA NICOLE WALKER,8,8,0,0
Greene,0018 26-ABC,President,,CST,DON BLANKENSHIP WILLIAM MOHR,5,5,0,0
Greene,0018 26-ABC,Governor,,REP,MIKE PARSON,641,641,0,0
Greene,0018 26-ABC,Governor,,DEM,NICOLE GALLOWAY,505,505,0,0
Greene,0018 26-ABC,Governor,,LIB,RIK COMBS,55,55,0,0
Greene,0018 26-ABC,Governor,,GRN,JEROME HOWARD BAUER,22,22,0,0
Greene,0018 26-ABC,Lieutenant Governor,,REP,MIKE KEHOE,640,640,0,0
Greene,0018 26-ABC,Lieutenant Governor,,DEM,ALISSIA CANADY,485,485,0,0
Greene,0018 26-ABC,Lieutenant Governor,,LIB,BILL SLANTZ,46,46,0,0
Greene,0018 26-ABC,Lieutenant Governor,,GRN,KELLEY DRAGOO,31,31,0,0
Greene,0018 26-ABC,Secretary of State,,REP,JOHN R. (JAY) ASHCROFT,660,660,0,0
Greene,0018 26-ABC,Secretary of State,,DEM,YINKA FALETI,461,461,0,0
