county,office,district,party,candidate,votes,office
All,State Representative,District 147,DEM,Andy Leighton,1394,State Representative
All,State Representative,District 148,REP,Will Perry,3435,State Representative
All,State Representative,District 148,REP,Jamie Burger,4175,State Representative
All,State Representative,District 149,REP,Don Rone,3652,State Representative
All,State Representative,District 150,REP,Andrew McDaniel,2424,State Representative
All,State Representative,District 150,REP,Jeff McCormick,1553,State Representative
All,State Representative,District 151,REP,Herman Morse,6701,State Representative
All,State Representative,District 152,REP,Hardy Billington,4906,State Representative
All,State Representative,District 153,REP,Larry Kimbrow,2602,State Representative
All,State Representative,District 153,REP,Jack (Skip) Johnson,1235,State Representative
All,State Representative,District 153,REP,Darrell Atchison,3615,State Representative
All,State Representative,District 154,REP,David Paul Evans,5892,State Representative
All,State Representative,District 155,REP,Joe Combs,3761,State Representative
All,State Representative,District 155,REP,Travis Smith,5486,State Representative
All,State Representative,District 155,DEM,Mike Lind,585,State Representative
All,State Representative,District 156,REP,Karen Best,2989,State Representative
All,State Representative,District 156,REP,Brian H. Seitz,3474,State Representative
All,State Representative,District 156,DEM,Dale Speelman,766,State Representative
All,State Representative,District 157,REP,Nathan Bowen,1625,State Representative
All,State Representative,District 157,REP,Wally Long,2372,State Representative
All,State Representative,District 157,REP,Mitch Boggs,2656,State Representative
All,State Representative,District 158,REP,Scott Cupps,5979,State Representative
All,State Representative,District 158,DEM,Brenda McKinney,741,State Representative
All,State Representative,District 159,REP,Mark Bartley,1344,State Representative
All,State Representative,District 159,REP,Dirk Deaton,4313,State Representative
All,State Representative,District 160,REP,Ben Baker,4974,State Representative
All,State Representative,District 160,DEM,Angela Thomas,955,State Representative
All,State Representative,District 161,REP,Lane Roberts,3111,State Representative
All,State Representative,District 161,DEM,Elizabeth Lundstrum,1409,State Representative
All,State Representative,District 162,REP,Bob Bromley,3500,State Representative
All,State Representative,District 163,REP,Cody Smith,3764,State Representative
All,State Representative,District 163,DEM,Aaron Hailey,822,State Representative
All,Circuit Judge,Circuit 11 Division 1,REP,Rebeca McKelvey,20992,Circuit Judge
All,Circuit Judge,Circuit 11 Division 1,REP,Matthew Thornhill,20271,Circuit Judge
All,Circuit Judge,Circuit 13 Division 4,REP,Josh Devine,16234,Circuit Judge
All,Circuit Judge,Circuit 13 Division 4,DEM,Andy Hirth,18822,Circuit Judge
All,Circuit Judge,Circuit 19 Division 2,REP,David G. Bandr,3783,Circuit Judge
All,Circuit Judge,Circuit 19 Division 2,REP,Daniel Green,10178,Circuit Judge
All,Circuit Judge,Circuit 19 Division 3,REP,Cotton Walker,10418,Circuit Judge
All,Circuit Judge,Circuit 19 Division 3,REP,Mark Richardson,3948,Circuit Judge
All,Circuit Judge,Circuit 23 Division 2,REP,Darrell Missey,21737,Circuit Judge
All,Circuit Judge,Circuit 26 Division 3,REP,Aaron Koeppen,13019,Circuit Judge
All,Circuit Judge,Circuit 26 Division 3,REP,Jeffrey E. Green,7472,Circuit Judge
All,Circuit Judge,Circuit 26 Division 3,REP,Richelle Christensen Grosvenor,4244,Circuit Judge
All,Circuit Judge,Circuit 32 Division 1,REP,Scott A. Lipke,18070,Circuit Judge
All,Circuit Judge,Circuit 36,REP,Michael Pritchett,8865,Circuit Judge
All,Circuit Judge,Circuit 42 Division 2,REP,Mike Randazzo,4654,Circuit Judge
All,Circuit Judge,Circuit 42 Division 2,REP,Kristopher D. Crews,1436,Circuit Judge
All,Circuit Judge,Circuit 42 Division 2,REP,Brandi L. Baird,3712,Circuit Judge
All,Circuit Judge,Circuit 42 Division 2,REP,Stephen K. Paulus,1366,Circuit Judge
All,Circuit Judge,Circuit 42 Division 2,REP,Christopher Piatt,1566,Circuit Judge
